HMM,SSD,OGS,Target
-20.1718,0.93,0.6909,1
-13.8231,0.854,0.7998,1
-12.2302,0.928,0.7324,1
-23.7316,0.924,0.7543,1
-9.4449,0.801,0.6843,1
-33.5896,0.917,0.7021,1
-148.4577,0.908,0.8879,1
-11.968,0.916,0.7166,1
-8.0129,0.93,0.683,1
-14.7196,0.979,0.7142,1
-12.9691,0.927,0.6771,1
-35.665,0.882,0.6901,1
-14.8911,0.972,0.8415,1
-33.0356,0.865,0.7811,1
-14.0974,0.827,0.6921,1
-12.8733,0.953,0.7454,1
-16.8113,0.87,0.6873,1
-30.8435,0.915,0.8512,1
-9.0773,0.938,0.7999,1
-22.3555,0.848,0.7783,1
-2.5502,0.458,0.3097,0
-2.4916,0.398,0.8671,0
-2.4591,0.381,0.2878,0
-2.3937,0.387,0.3369,0
-2.5805,0.412,0.3344,0
-2.4426,0.944,0.2908,0
-2.5148,0.989,0.2814,0
-2.4417,0.402,0.3266,0
-2.4508,0.49,0.3223,0
-12.4561,0.479,0.7914,0
-2.5332,0.491,0.4302,0
-2.4849,0.488,0.3293,0
-2.6171,0.455,0.8409,0
-2.515,0.432,0.3612,0
-14.4404,0.408,0.2755,0
-2.5892,0.425,0.3998,0
-2.4532,0.421,0.3486,0
-2.4831,1.397,0.355,0
-2.5505,0.368,0.3432,0
-2.4479,0.426,0.3346,0
